Instance,Courses,Algorithm,Time (s),Violations,Soft Score
instance_05,5,CSP (First Sol),0.008792877197265625,0,0.8666666666666667
instance_05,5,CSP (Anytime 45.0s),45.000507831573486,0,0.8666666666666667
instance_05,5,Simulated Annealing,0.4470982551574707,0,0.8666666666666667
instance_05,5,Q-Learning,5.125693082809448,0,0.7333333333333334
instance_15,15,CSP (First Sol),0.4954512119293213,0,0.9111111111111111
instance_15,15,CSP (Anytime 45.0s),45.00883436203003,0,0.9111111111111111
instance_15,15,Simulated Annealing,1.393707275390625,0,0.9111111111111111
instance_15,15,Q-Learning,59.03151750564575,0,0.6444444444444445
instance_30,30,CSP (First Sol),3.0505051612854004,0,0.6333333333333333
instance_30,30,CSP (Anytime 45.0s),45.01511907577515,0,0.6333333333333333
instance_30,30,Simulated Annealing,1.5905048847198486,0,0.5222222222222223
instance_30,30,Q-Learning,10.752234697341919,3,0.24444444444444446
instance_60,60,CSP (First Sol),13.548718929290771,0,0.38333333333333336
instance_60,60,CSP (Anytime 45.0s),45.02039170265198,0,0.38333333333333336
instance_60,60,Simulated Annealing,3.5251898765563965,0,0.19444444444444445
instance_60,60,Q-Learning,38.02767848968506,14,0.1111111111111111
instance_100,100,CSP (First Sol),41.436914682388306,0,0.3133333333333333
instance_100,100,CSP (Anytime 45.0s),45.04575872421265,0,0.3133333333333333
instance_100,100,Simulated Annealing,4.337467432022095,8,0.09000000000000001
instance_100,100,Q-Learning,33.24606728553772,50,0.10666666666666667
instance_125,125,CSP (First Sol),61.11872744560242,0,0.18933333333333333
instance_125,125,Simulated Annealing,3.709106683731079,56,0.07466666666666667
instance_125,125,Q-Learning,8.128861427307129,82,0.09599999999999999
instance_150,150,Simulated Annealing,2.61700701713562,72,0.05555555555555555
instance_150,150,Q-Learning,4.3377296924591064,109,0.05333333333333334
